City,NumMonuments2020,NumMonuments2022,Domestic2019-20,Domestic2020-21,Domestic2021-22,Foreign2019-20,Foreign2020-21,Foreign2021-22,Domestic2018-19,Foreign2018-19
Agra,9.0,9.0,7632914.0,2061695.0,5209587.0,1394635.0,14099.0,60086.0,9525738.0,1826587.0
Aurangabad,6.0,6.0,3545221.0,555097.0,1293929.0,56402.0,409.0,2673.0,3764094.0,73773.0
Bangalore,4.0,4.0,1420289.0,336796.0,529404.0,34483.0,1069.0,3348.0,1566190.0,41835.0
Bhopal,14.0,11.0,1953517.0,634016.0,1271045.0,61743.0,496.0,853.0,2033017.0,105201.0
Bhubaneswar,6.0,5.0,2404593.0,651825.0,824707.0,9249.0,230.0,777.0,2648793.0,7945.0
Chandigarh,2.0,2.0,131210.0,41424.0,67602.0,118.0,89.0,196.0,166965.0,199.0
Chennai,9.0,3.0,1835614.0,991460.0,1411959.0,62913.0,32285.0,181046.0,1386175.0,107647.0
Delhi,12.0,11.0,6158331.0,1347436.0,3664640.0,581350.0,8832.0,21348.0,8433474.0,710750.0
Dharwad,6.0,6.0,1803489.0,717125.0,1047941.0,17981.0,414.0,903.0,2075053.0,20539.0
Goa,1.0,1.0,837898.0,379726.0,656756.0,8104.0,340.0,1057.0,0.0,0.0
Guwahati,5.0,5.0,277848.0,136764.0,157674.0,1557.0,309.0,127.0,411282.0,1950.0
Hampi,2.0,2.0,615961.0,284525.0,443213.0,27062.0,636.0,1259.0,691464.0,33059.0
Hyderabad,8.0,3.0,2875042.0,888983.0,1473467.0,28652.0,1148.0,2265.0,3580491.0,35537.0
Jabalpur,3.0,3.0,417563.0,168659.0,293111.0,1642.0,296.0,969.0,542015.0,2315.0
Jaipur,3.0,3.0,286164.0,111002.0,238434.0,88692.0,230.0,996.0,32975.0,1607.0
Jhansi,4.0,4.0,561060.0,261556.0,411308.0,29.0,139.0,84.0,710812.0,-26.0
Jodhpur,3.0,3.0,1301708.0,558142.0,1372020.0,26494.0,555.0,568.0,1288413.0,32886.0
Kolkata,3.0,2.0,1294652.0,707139.0,119626.0,2280.0,1269.0,258.0,1447093.0,2153.0
Leh,1.0,1.0,56639.0,2047.0,52402.0,5671.0,6.0,176.0,70706.0,9621.0
Lucknow,7.0,3.0,689390.0,96457.0,186778.0,21017.0,75.0,537.0,830144.0,21997.0
Mumbai,13.0,13.0,3941141.0,716361.0,1724562.0,73371.0,515.0,3062.0,3881081.0,77828.0
Nagpur,2.0,2.0,45391.0,13.0,11125.0,76.0,0.0,13.0,0.0,0.0
Patna,5.0,5.0,910849.0,303423.0,506293.0,40661.0,303621.0,352.0,1052445.0,113167.0
Raiganj,2.0,2.0,1045681.0,124925.0,585303.0,397.0,261.0,329.0,1506059.0,465.0
Raipur,1.0,1.0,63759.0,44742.0,53049.0,96.0,44746.0,1.0,55542.0,98.0
Rajkot,3.0,3.0,56553.0,12247.0,34400.0,49.0,17.0,33.0,78706.0,65.0
Sarnath,7.0,6.0,847571.0,281349.0,519893.0,106938.0,579.0,1955.0,825644.0,252389.0
Shimla,3.0,2.0,164745.0,153577.0,122665.0,3467.0,461.0,623.0,195718.0,5052.0
Srinagar,4.0,3.0,22280.0,13651.0,37935.0,36.0,8.0,14.0,34872.0,216.0
Thiruchirapalli,7.0,7.0,305392.0,118122.0,211757.0,57910.0,1956.0,29933.0,399027.0,85887.0
Thrissur,5.0,4.0,1203910.0,247969.0,513878.0,83969.0,560.0,1320.0,648570.0,83401.0
Vadodara,7.0,4.0,1023395.0,308161.0,822620.0,18509.0,531.0,1396.0,670090.0,11400.0
